run_name	grating_value[um]	date_time	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-172.txt	2025_09_04_20:38:42	3.5217	7.27E+08	6058.5095	0.20148161	0.002037223	1.01E-05	3.48E-08	1.17E-05	3.86E-07	0.024355836	9.85E-05	-1.5190627	0.004009249	1.97E-08	NaN	0.001081156	1.98E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-173.txt	2025_09_04_20:39:43	3.5217	7.27E+08	5597.4255	0.20174538	0.00199696	1.02E-05	3.43E-08	1.21E-05	3.73E-07	0.023959835	0.000139586	-1.488151	0.003914508	1.99E-08	1.44E-10	0.000967619	1.91E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-174.txt	2025_09_04_20:40:42	3.5217	7.27E+08	5890.9275	0.19957068	0.001917998	1.02E-05	3.31E-08	1.17E-05	3.66E-07	0.024021291	9.19E-05	-1.4931768	0.003795794	1.97E-08	NaN	0.001030644	1.84E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-175.txt	2025_09_04_20:41:42	3.5217	7.27E+08	5590.5267	0.19382423	0.001886911	1.01E-05	3.32E-08	1.10E-05	3.79E-07	0.023302812	0.000133585	-1.4995237	0.003851279	2.00E-08	1.42E-10	0.001171238	1.84E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-176.txt	2025_09_04_20:42:43	3.5217	7.27E+08	5867.9819	0.19596544	0.002023204	1.01E-05	3.47E-08	9.83E-06	4.14E-07	0.02445501	9.84E-05	-1.4891836	0.003990621	1.97E-08	NaN	0.001099693	1.98E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-177.txt	2025_09_04_20:43:43	3.5217	7.27E+08	6355.8871	0.19967223	0.002071198	1.02E-05	3.54E-08	1.10E-05	4.02E-07	0.024314796	9.95E-05	-1.4975905	0.004059556	1.98E-08	NaN	0.000903352	2.01E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-178.txt	2025_09_04_20:44:43	3.5217	7.27E+08	5945.4926	0.19876724	0.00204783	1.01E-05	3.51E-08	1.09E-05	4.01E-07	0.024235139	9.88E-05	-1.4803483	0.004045215	1.99E-08	NaN	0.001021404	2.01E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-179.txt	2025_09_04_20:45:44	3.5217	7.27E+08	5616.3804	0.19816349	0.001974739	1.02E-05	3.42E-08	1.15E-05	3.81E-07	0.023697631	0.000137146	-1.5063448	0.00388916	2.03E-08	1.46E-10	0.000892987	1.91E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-180.txt	2025_09_04_20:46:44	3.5217	7.27E+08	5581.8059	0.20406857	0.001932867	1.02E-05	3.30E-08	1.27E-05	3.52E-07	0.024110227	0.000135433	-1.4826256	0.003775486	2.01E-08	1.40E-10	0.001232244	1.87E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-181.txt	2025_09_04_20:47:44	3.5217	7.27E+08	6207.9019	0.20635956	0.002068189	1.02E-05	3.48E-08	1.22E-05	3.76E-07	0.02471301	9.95E-05	-1.509054	0.003995003	1.95E-08	NaN	0.001016506	1.97E-05
