run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-535.txt,2025_09_09_01:10:13,3.5217,2545.3319,7.2275658e+08,7143.0645,0.1186377,0.0018081952,1.0517361e-05,4.4820202e-08,1.1372057e-07,7.5876766e-07,0.0074793377,8.2602189e-05,-3.0940658,0.0074144436,3.0930123e-08,4.410645e-10,-0.00053856619,1.5119593e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-536.txt,2025_09_09_01:11:13,3.5217,2546.0162,7.229509e+08,6638.6115,0.12514785,0.0028413115,1.0579468e-05,6.9039827e-08,2.2974733e-06,1.0755142e-06,0.0070010294,0.00012810557,-2.1605203,0.012418953,3.1500263e-08,7.5034808e-10,-0.00058198437,2.3895662e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-537.txt,2025_09_09_01:12:13,3.5217,2544.387,7.2248829e+08,7702.4446,0.11550074,0.00013561975,1.0423402e-05,1.5823485e-08,2.4025279e-12,NaN,0.012760328,8.5841776e-05,-3.0823725,0.0044915525,2.0128688e-08,1.6547431e-10,-0.00039688922,1.0289967e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-538.txt,2025_09_09_01:13:13,3.5217,2545.6542,7.2284812e+08,6657.4733,0.12369182,0.00013670218,1.0374117e-05,1.4791538e-08,1.4667821e-09,NaN,0.013140001,8.2809049e-05,2.7533575,0.0042030767,2.1291439e-08,1.6471987e-10,-0.00037862142,1.0346327e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-539.txt,2025_09_09_01:14:13,3.5217,2546.0802,7.2296908e+08,7073.1722,0.12101362,0.001923128,1.0413616e-05,4.6606384e-08,1.7610989e-08,7.9485112e-07,0.0077300612,8.7398775e-05,-3.0384765,0.0076012049,3.1765464e-08,4.6525304e-10,-0.00050957362,1.6421377e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-540.txt,2025_09_09_01:15:13,3.5217,2545.7564,7.2287715e+08,7094.2279,0.12011451,0.0013575361,1.0418606e-05,3.3251253e-08,3.5401821e-07,5.614932e-07,0.012362892,8.1853813e-05,-3.1003253,0.0044147497,2.180889e-08,1.7835475e-10,-0.00032534938,1.1572772e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-541.txt,2025_09_09_01:16:13,3.5217,2545.3939,7.227742e+08,7612.3345,0.11999855,0.0018550853,1.0471892e-05,4.5396686e-08,5.2772816e-08,7.7148738e-07,0.0078270587,8.6427259e-05,-3.0456194,0.0074165061,3.0336103e-08,4.3171466e-10,-0.000334777,1.5653571e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-542.txt,2025_09_09_01:17:14,3.5217,2545.5361,7.2281458e+08,7406.0258,0.11895421,0.00013544758,1.0474554e-05,1.5301965e-08,8.866146e-09,NaN,0.012925628,8.4022169e-05,2.7327386,0.0043299244,2.0435932e-08,1.619784e-10,-0.00044848013,1.0098446e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-543.txt,2025_09_09_01:18:14,3.5217,2545.3667,7.2276647e+08,7220.8769,0.12057205,0.0019637013,1.0563897e-05,4.8078653e-08,1.3361458e-06,7.9254275e-07,0.0073132449,8.6005919e-05,2.8185439,0.0078931153,3.1866361e-08,4.8421739e-10,-0.00029884386,1.5976564e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-544.txt,2025_09_09_01:19:14,3.5217,2545.4605,7.227931e+08,6692.4012,0.12214067,0.0001366324,1.0399329e-05,1.5059902e-08,4.8364424e-09,NaN,0.013041232,8.2884174e-05,-3.0762285,0.0042490505,2.1262532e-08,1.6659396e-10,-0.00041836001,1.0403293e-05
