Study Name	Tungsten_Calibration
Sample Name	09-03-2025
Run Name	spot01
Operator	Alicia
Date	9/3/2025
Time	11:53
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:53:45 AM
	
Time	Amplitude
1.390000E-8	2.320022E-2
1.395000E-8	2.376378E-2
1.400000E-8	2.433248E-2
1.405000E-8	2.477442E-2
1.410000E-8	2.506563E-2
1.415000E-8	2.522493E-2
1.420000E-8	2.517868E-2
1.425000E-8	2.487378E-2
1.430000E-8	2.436503E-2
1.435000E-8	2.371411E-2
1.440000E-8	2.293300E-2
1.445000E-8	2.200630E-2
1.450000E-8	2.094941E-2
1.455000E-8	1.979145E-2
1.460000E-8	1.863864E-2
1.465000E-8	1.761258E-2
1.470000E-8	1.670472E-2
1.475000E-8	1.585167E-2
1.480000E-8	1.510311E-2
1.485000E-8	1.457038E-2
1.490000E-8	1.424321E-2
1.495000E-8	1.405307E-2
1.500000E-8	1.400682E-2
1.505000E-8	1.414043E-2
1.510000E-8	1.444020E-2
1.515000E-8	1.485302E-2
1.520000E-8	1.532408E-2
1.525000E-8	1.584995E-2
1.530000E-8	1.644606E-2
1.535000E-8	1.703360E-2
1.540000E-8	1.751494E-2
1.545000E-8	1.791577E-2
1.550000E-8	1.824637E-2
1.555000E-8	1.841767E-2
1.560000E-8	1.836114E-2
1.565000E-8	1.812989E-2
1.570000E-8	1.774962E-2
1.575000E-8	1.719119E-2
1.580000E-8	1.644949E-2
1.585000E-8	1.557760E-2
1.590000E-8	1.462862E-2
1.595000E-8	1.363682E-2
1.600000E-8	1.265016E-2
1.605000E-8	1.172174E-2
1.610000E-8	1.090809E-2
1.615000E-8	1.025203E-2
1.620000E-8	9.777547E-3
1.625000E-8	9.501762E-3
1.630000E-8	9.445234E-3
1.635000E-8	9.619955E-3
1.640000E-8	1.000879E-2
1.645000E-8	1.056550E-2
1.650000E-8	1.124383E-2
1.655000E-8	1.201295E-2
1.660000E-8	1.281461E-2
1.665000E-8	1.360770E-2
1.670000E-8	1.435284E-2
1.675000E-8	1.496779E-2
1.680000E-8	1.537204E-2
1.685000E-8	1.558959E-2
1.690000E-8	1.565982E-2
1.695000E-8	1.552107E-2
1.700000E-8	1.513052E-2
1.705000E-8	1.454126E-2
1.710000E-8	1.381840E-2
1.715000E-8	1.299275E-2
1.720000E-8	1.210031E-2
1.725000E-8	1.114962E-2
1.730000E-8	1.015611E-2
1.735000E-8	9.215699E-3
1.740000E-8	8.414038E-3
1.745000E-8	7.757979E-3
1.750000E-8	7.254371E-3
1.755000E-8	6.925485E-3
1.760000E-8	6.774745E-3
1.765000E-8	6.812430E-3
1.770000E-8	7.083076E-3
1.775000E-8	7.574693E-3
1.780000E-8	8.225614E-3
1.785000E-8	8.986164E-3
1.790000E-8	9.820370E-3
1.795000E-8	1.066657E-2
1.800000E-8	1.145795E-2
1.805000E-8	1.216197E-2
1.810000E-8	1.273067E-2
1.815000E-8	1.309553E-2
1.820000E-8	1.321372E-2
1.825000E-8	1.308525E-2
1.830000E-8	1.271526E-2
1.835000E-8	1.211401E-2
1.840000E-8	1.132948E-2
1.845000E-8	1.040106E-2
1.850000E-8	9.361300E-3
1.855000E-8	8.270151E-3
1.860000E-8	7.213260E-3
1.865000E-8	6.224888E-3
1.870000E-8	5.339293E-3
1.875000E-8	4.606150E-3
1.880000E-8	4.081988E-3
1.885000E-8	3.765092E-3
1.890000E-8	3.658889E-3
1.895000E-8	3.761666E-3
1.900000E-8	4.056293E-3
1.905000E-8	4.517077E-3
1.910000E-8	5.120035E-3
1.915000E-8	5.832623E-3
1.920000E-8	6.598311E-3
1.925000E-8	7.364000E-3
1.930000E-8	8.090291E-3
1.935000E-8	8.737786E-3
1.940000E-8	9.284217E-3
1.945000E-8	9.703890E-3
1.950000E-8	9.955693E-3
1.955000E-8	1.002935E-2
1.960000E-8	9.907731E-3
1.965000E-8	9.587409E-3
1.970000E-8	9.080376E-3
1.975000E-8	8.431168E-3
1.980000E-8	7.680896E-3
1.985000E-8	6.846689E-3
1.990000E-8	5.954242E-3
1.995000E-8	5.068647E-3
2.000000E-8	4.258422E-3
2.005000E-8	3.557825E-3
2.010000E-8	2.997690E-3
2.015000E-8	2.629406E-3
2.020000E-8	2.454685E-3
2.025000E-8	2.468389E-3
2.030000E-8	2.691072E-3
2.035000E-8	3.110745E-3
2.040000E-8	3.665741E-3
2.045000E-8	4.321801E-3
2.050000E-8	5.073786E-3
2.055000E-8	5.860030E-3
2.060000E-8	6.594885E-3
2.065000E-8	7.244093E-3
2.070000E-8	7.783673E-3
2.075000E-8	8.177651E-3
2.080000E-8	8.403761E-3
2.085000E-8	8.441446E-3
2.090000E-8	8.271864E-3
2.095000E-8	7.908718E-3
2.100000E-8	7.389694E-3
2.105000E-8	6.726783E-3
2.110000E-8	5.947390E-3
2.115000E-8	5.097767E-3
2.120000E-8	4.205320E-3
2.125000E-8	3.295744E-3
2.130000E-8	2.411861E-3
2.135000E-8	1.606775E-3
2.140000E-8	9.078912E-4
2.145000E-8	3.528954E-4
2.150000E-8	-2.224063E-5
2.155000E-8	-2.158040E-4
2.160000E-8	-2.192299E-4
2.165000E-8	-1.196293E-5
2.170000E-8	3.940062E-4
2.175000E-8	9.490020E-4
2.180000E-8	1.629043E-3
2.185000E-8	2.415287E-3
2.190000E-8	3.247781E-3
2.195000E-8	4.069997E-3
2.200000E-8	4.827121E-3
2.205000E-8	5.471190E-3
2.210000E-8	5.962807E-3
2.215000E-8	6.284841E-3
2.220000E-8	6.394470E-3
2.225000E-8	6.271138E-3
2.230000E-8	5.935400E-3
2.235000E-8	5.424941E-3
2.240000E-8	4.753464E-3
2.245000E-8	3.944952E-3
2.250000E-8	3.049079E-3
2.255000E-8	2.118947E-3
2.260000E-8	1.195667E-3
2.265000E-8	3.391918E-4
2.270000E-8	-3.922378E-4
2.275000E-8	-9.677891E-4
2.280000E-8	-1.378897E-3
2.285000E-8	-1.594729E-3
2.290000E-8	-1.577599E-3
2.295000E-8	-1.344638E-3
2.300000E-8	-9.489466E-4
2.305000E-8	-4.093673E-4
2.310000E-8	2.706738E-4
2.315000E-8	1.029511E-3
2.320000E-8	1.793486E-3
2.325000E-8	2.535194E-3
2.330000E-8	3.222087E-3
2.335000E-8	3.809629E-3
2.340000E-8	4.263560E-3
2.345000E-8	4.553049E-3
2.350000E-8	4.672955E-3
2.355000E-8	4.623280E-3
2.360000E-8	4.400596E-3
2.365000E-8	3.992914E-3
2.370000E-8	3.441344E-3
2.375000E-8	2.792136E-3
2.380000E-8	2.055568E-3
2.385000E-8	1.248768E-3
2.390000E-8	4.419688E-4
2.395000E-8	-3.031644E-4
2.400000E-8	-9.695020E-4
2.405000E-8	-1.538201E-3
2.410000E-8	-1.959587E-3
2.415000E-8	-2.202826E-3
2.420000E-8	-2.259353E-3
2.425000E-8	-2.132595E-3
2.430000E-8	-1.832829E-3
2.435000E-8	-1.384036E-3
2.440000E-8	-8.084847E-4
2.445000E-8	-1.301565E-4
2.450000E-8	6.166897E-4
2.455000E-8	1.401221E-3
2.460000E-8	2.187465E-3
2.465000E-8	2.908617E-3
2.470000E-8	3.516714E-3
2.475000E-8	3.991201E-3
2.480000E-8	4.323514E-3
2.485000E-8	4.479392E-3
2.490000E-8	4.453698E-3
2.495000E-8	4.253283E-3
2.500000E-8	3.869582E-3
2.505000E-8	3.336854E-3
2.510000E-8	2.706489E-3
2.515000E-8	1.995615E-3
2.520000E-8	1.235065E-3
2.525000E-8	4.847926E-4
2.530000E-8	-2.158040E-4
2.535000E-8	-8.495955E-4
2.540000E-8	-1.372045E-3
2.545000E-8	-1.738617E-3
2.550000E-8	-1.937319E-3
2.555000E-8	-1.968152E-3
2.560000E-8	-1.812273E-3
2.565000E-8	-1.473109E-3
2.570000E-8	-9.797797E-4
2.575000E-8	-3.716824E-4
2.580000E-8	3.152105E-4
2.585000E-8	1.063770E-3
2.590000E-8	1.832884E-3
2.595000E-8	2.571166E-3
2.600000E-8	3.227226E-3
2.605000E-8	3.761666E-3
2.610000E-8	4.147080E-3
2.615000E-8	4.376615E-3
2.620000E-8	4.438281E-3
2.625000E-8	4.313236E-3
2.630000E-8	4.003192E-3
2.635000E-8	3.545834E-3
2.640000E-8	2.983987E-3
2.645000E-8	2.339917E-3
2.650000E-8	1.651312E-3
2.655000E-8	9.712704E-4
2.660000E-8	3.254882E-4
2.665000E-8	-2.757572E-4
2.670000E-8	-7.947811E-4
2.675000E-8	-1.169917E-3
2.680000E-8	-1.397740E-3
2.685000E-8	-1.493665E-3
2.690000E-8	-1.450841E-3
2.695000E-8	-1.250426E-3
2.700000E-8	-9.078358E-4
2.705000E-8	-4.436263E-4
2.710000E-8	1.284990E-4
2.715000E-8	7.674293E-4
2.720000E-8	1.435480E-3
2.725000E-8	2.127512E-3
2.730000E-8	2.807553E-3
